id,Title,Summary,Publication Date,Source,URL,Category
1,Closure for family as body found 56 years after India plane crash,"In 1968, an Indian Air Force plane with 102 people went missing. For many years, their fate was a mystery.",2024-10-13,BBC,/news/articles/cly5z15g15no,General
2,How China’s crackdown turned finance high-flyers into ‘rats’,Chinese authorities have been cracking down on businesses from real estate to technology to finance.,2024-10-13,BBC,/news/articles/crl8xee75wgo,Technology
3,Closure for family as body found 56 years after India plane crash,"In 1968, an Indian Air Force plane with 102 people went missing. For many years, their fate was a mystery.",2024-10-13,BBC,/news/articles/cly5z15g15no,General
4,Japanese atomic bomb survivors win Nobel Peace Prize,"Nihon Hidankyo, a group of survivors of Hiroshima and Nagasaki, is recognised for its work to rid the world of nuclear weapons.",2024-10-13,BBC,/news/articles/cy5y23qgx0qo,General
5,Tata leadership to remain in the family,Ratan Tata's half-brother Noel Tata is the new chairman of the influential Tata Trusts.,2024-10-13,BBC,/news/articles/crl8p3x5pp0o,General
6,How China’s crackdown turned finance high-flyers into ‘rats’,Chinese authorities have been cracking down on businesses from real estate to technology to finance.,2024-10-13,BBC,/news/articles/crl8xee75wgo,Technology
7,South Korea's Han Kang wins Nobel Literature Prize ,Han Kang is the first South Korean winner and only the 18th woman to win the Nobel literature prize.,2024-10-13,BBC,/news/articles/c206djljel1o,Sports
8,Teen breaks record by climbing Earth's highest peaks,"The 18-year-old has become the youngest person to summit all 14 of the world's 8,000m peaks.",2024-10-13,BBC,/news/articles/c869y6qx6e4o,General
9,Fugitive father seen with children in NZ wilderness for first time in years,A search has been underway for Tom Phillips since he took his three children from their home in 2021.,2024-10-13,BBC,/news/articles/czegx545pexo,General
10,Singapore detains Spanish newlyweds over football protest,A fan on his honeymoon posed with a banner criticising Valencia's billionaire owner Peter Lim.,2024-10-13,BBC,/news/articles/c62m7xrd2z0o,Sports
11,North Korea says it will cut off all roads to the South,It comes as tensions between the Koreas are at their highest point in years.,2024-10-13,BBC,/news/articles/cwy9xde4l21o,General
12,"Starbucks, Tetley, Jaguar Land Rover: Remembering Ratan Tata's global ambitions",The former Tata boss's audacious risk-taking saw his firm swallow up a host of iconic foreign brands.,2024-10-13,BBC,/news/articles/c5y8jp386lno,General
13,Family tells of 'relief' after 1924 climber’s foot found on Everest,"Andrew Comyn ""Sandy"" Irvine was climbing Everest in June 1924 when he and his partner vanished. ",2024-10-13,BBC,/news/articles/cy0g2p47xd5o,General
14,Art becomes outrage: Kolkata festival confronts crime against female doctor,"Kolkata's largest festival, Durga Puja, is unfolding amid some of the city’s most fervent protests in years.",2024-10-13,BBC,/news/articles/c1wnzrq88g2o,General
15,How South Korea's 'real-life mermaids' made Malala want to learn to swim ,"The activist is producing a film about South Korea's real-life mermaids, the haenyeo. ",2024-10-13,BBC,/news/articles/c0r8gze5wv4o,General
16,"Obituary: Ratan Tata, the 'modest' Indian tycoon","The businessman led a conglomerate of more than 100 companies, employing some 660,000 people.",2024-10-13,BBC,/news/articles/cd11lz4vpr7o,General
